"","Source_Name","ASSOC_FGL","Signif","PL_Flux_Density","LP_Flux_Density","PLEC_Flux_Density","RA","DEC","GLON","GLAT","ASSOC1","CLASS1","ASSOC2","CLASS2","Flags","FGL3_Source_name","BLR_P_PLEC","BLR_Pred_PLEC","BLR_P_LP","BLR_Pred_LP","RF_P_LP","RF_Pred_LP","PSR_Out","AGN_Out","XGB_P_PLEC","XGB_Pred_PLEC","XGB_P_LP","XGB_Pred_LP","ANN_Pred_LP","ANN_P_LP.1","ANN_P_LP.2","ANN_Pred_PLEC","ANN_P_PLEC.1","ANN_P_PLEC.2"
"2534","1330.2-7003","3FGL J1330.1-7002 ", 34.800,"4.69e-12","5.58e-12","5.30e-12","202.562","-70.0586","306.255","-7.4e+00","PKS 1326-697                ","bcu","                              ","",   0,"1330.1-7002",0.045,"AGN",0.052,"AGN",0.062,"AGN",  4388.229,   2.983,0.0083903614,"AGN",0.009104560,"AGN","AGN",9.804348e-01,1.956522e-02,"AGN",9.995983e-01,4.017133e-04
"2535","1330.2+7002","3FGL J1330.6+7002 ", 17.599,"5.77e-14","6.18e-14","6.12e-14","202.573"," 70.0406","118.113"," 4.7e+01","NVSS J133025+700141         ","bll","                              ","",   0,"1330.6+7002",0.000,"AGN",0.000,"AGN",0.000,"AGN",  9217.954,  -0.903,0.0004611863,"AGN",0.426168382,"AGN","AGN",9.999931e-01,6.898569e-06,"AGN",9.999989e-01,1.111761e-06
"2536","1330.3+4441","3FGL J1330.0+4437 ", 11.341,"1.05e-13","1.21e-13","1.17e-13","202.579"," 44.6877","101.536"," 7.1e+01","1RXS J133021.4+444117       ","bll","                              ","",   0,"1330.0+4437",0.002,"AGN",0.020,"AGN",0.020,"AGN",  7338.433,  -0.053,0.0016603422,"AGN",0.966026604,"PSR","AGN",9.960158e-01,3.984145e-03,"AGN",9.987752e-01,1.224769e-03
"2537","1330.4+3157","                  ",  4.689,"2.14e-13","2.97e-13","2.83e-13","202.600"," 31.9630"," 64.980"," 8.0e+01","MG2 J132953+3153            ","bll","                              ","",   0,"",0.004,"AGN",0.005,"AGN",0.004,"AGN",   927.889,   5.066,0.0024171520,"AGN",0.548073709,"AGN","AGN",9.436777e-01,5.632230e-02,"AGN",9.897875e-01,1.021260e-02
"2538","1330.7+5200","3FGL J1330.9+5201 ", 13.581,"3.81e-13","4.13e-13","4.04e-13","202.682"," 52.0136","109.052"," 6.4e+01","87GB 132842.6+521750        ","bcu","                              ","",   0,"1330.9+5201",0.007,"AGN",0.001,"AGN",0.002,"AGN",  4112.614,  -0.355,0.0013456341,"AGN",0.540170074,"AGN","AGN",9.952103e-01,4.789716e-03,"AGN",9.989421e-01,1.057892e-03
"2539","1330.7+2933","                  ",  8.834,"2.17e-13","2.98e-13","2.94e-13","202.693"," 29.5536"," 50.887"," 8.1e+01","FIRST J133101.8+293216      ","bcu","                              ","",   0,"",0.008,"AGN",0.013,"AGN",0.038,"AGN",  1326.073,   4.651,0.0012459233,"AGN",0.108357616,"AGN","AGN",9.999926e-01,7.388782e-06,"AGN",9.999999e-01,8.902876e-08
"2540","1331.0+3032","3FGL J1330.5+3023 ",  6.778,"1.29e-13","1.47e-13","1.45e-13","202.754"," 30.5459"," 56.791"," 8.1e+01","3C 286                      ","css","                              ","",   0,"1330.5+3023",0.010,"AGN",0.014,"AGN",0.034,"AGN",  2256.071,   3.440,0.0030838256,"AGN",0.975503564,"PSR","AGN",9.447105e-01,5.528948e-02,"AGN",9.827345e-01,1.726548e-02
"2541","1331.0+5653","3FGL J1330.4+5641 ",  6.830,"5.24e-15","6.59e-15","6.19e-15","202.758"," 56.8940","112.300"," 5.9e+01","RX J1331.0+5655             ","bll","                              ","",   0,"1330.4+5641",0.004,"AGN",0.006,"AGN",0.000,"AGN",  3924.291,  -0.322,0.0010934033,"AGN",0.933074534,"PSR","AGN",9.808715e-01,1.912856e-02,"AGN",9.900322e-01,9.967803e-03
"2542","1331.2-1325","3FGL J1331.1-1328 ", 11.041,"8.55e-13","1.06e-12","9.98e-13","202.819","-13.4282","317.582"," 4.8e+01","PMN J1331-1326              ","bll","                              ","",  16,"1331.1-1328",0.021,"AGN",0.005,"AGN",0.108,"AGN",   783.567,   2.463,0.0015973427,"AGN",0.074924156,"AGN","AGN",6.053901e-01,3.946098e-01,"AGN",8.227080e-01,1.772920e-01
"2543","1331.6+1711","3FGL J1331.5+1711 ", 11.318,"2.50e-13","2.42e-13","2.52e-13","202.905"," 17.1837","348.041"," 7.6e+01","TXS 1329+174                ","bll","                              ","",   0,"1331.5+1711",0.007,"AGN",0.005,"AGN",0.004,"AGN",  8341.604,  -0.326,0.0004895593,"AGN",0.086430386,"AGN","AGN",9.999834e-01,1.659942e-05,"AGN",1.000000e+00,2.024259e-08
